report_id,text,source,report_text
162,"An employee was performing manual labor to build a solar farm outside when he began feeling unwell and experienced severe cramps in his stomach, legs, neck, jaw, and hands. He was hospitalized for dehydration and kidney malfunction due to heat stress.",osha,"An employee was performing manual labor to build a solar farm outside when he began feeling unwell and experienced severe cramps in his stomach, legs, neck, jaw, and hands. He was hospitalized for dehydration and kidney malfunction due to heat stress."
163,An employee was throwing construction debris into a dumpster. A piece of block debris lacerated his right bicep. He was hospitalized.,osha,An employee was throwing construction debris into a dumpster. A piece of block debris lacerated his right bicep. He was hospitalized.
164,"An employee was injured when another employee driving a pickup truck backed into him, pinning him between the truck and heavy equipment. He was hospitalized with a puncture laceration to the right buttocks.",osha,"An employee was injured when another employee driving a pickup truck backed into him, pinning him between the truck and heavy equipment. He was hospitalized with a puncture laceration to the right buttocks."
165,An employee was manually lifting a roll of fabric material with a metal pole. The employee placed the pole into its holder and pinched their left index finger resulting in a partial amputation.,osha,An employee was manually lifting a roll of fabric material with a metal pole. The employee placed the pole into its holder and pinched their left index finger resulting in a partial amputation.
166,"On August 4, 2025, an employee was fixing a jammed carousel and using a hook to manually adjust the carousel by hand. The hook slipped off and the employee fell to the concrete ground, resulting in hospitalization for a fractured right hip.",osha,"On August 4, 2025, an employee was fixing a jammed carousel and using a hook to manually adjust the carousel by hand. The hook slipped off and the employee fell to the concrete ground, resulting in hospitalization for a fractured right hip."
167,"An employee stepped out of a moving vehicle, fell, and struck his head. He was hospitalized.",osha,"An employee stepped out of a moving vehicle, fell, and struck his head. He was hospitalized."
168,"A beam struck an ironworker during a demolition. The ironworker suffered skull, neck, and wrist fractures, as well as lacerations to the head and leg.",osha,"A beam struck an ironworker during a demolition. The ironworker suffered skull, neck, and wrist fractures, as well as lacerations to the head and leg."
169,"On March 16, 2019, an employee was using a knife to prepare a meal.  The knife slipped and cut the employee's thumb, amputating the end of it.",osha,"On March 16, 2019, an employee was using a knife to prepare a meal.  The knife slipped and cut the employee's thumb, amputating the end of it."
170,An employee was climbing down a ladder with a tool bag swung over his shoulder when it swung and struck him. He suffered an infection and was hospitalized.,osha,An employee was climbing down a ladder with a tool bag swung over his shoulder when it swung and struck him. He suffered an infection and was hospitalized.
171,"An employee was cleaning a pin on a metal lathe when their hand got caught in the unguarded chuck of the lathe. The employee's left forearm, thumb, index and ring fingers were broken.",osha,"An employee was cleaning a pin on a metal lathe when their hand got caught in the unguarded chuck of the lathe. The employee's left forearm, thumb, index and ring fingers were broken."
172,"An employee's left hand was caught in a print machine's rollers, amputating the index and middle fingertips.",osha,"An employee's left hand was caught in a print machine's rollers, amputating the index and middle fingertips."
173,"An employee was running an edger. While pushing a log through the edger, the log kicked back, striking the employee in the stomach. The employee sustained a cut to his stomach.",osha,"An employee was running an edger. While pushing a log through the edger, the log kicked back, striking the employee in the stomach. The employee sustained a cut to his stomach."
174,"An employee was driving a forklift when he struck a pallet of pipes. A pipe then hit his head, causing head trauma that required hospitalization.",osha,"An employee was driving a forklift when he struck a pallet of pipes. A pipe then hit his head, causing head trauma that required hospitalization."
175,"An employee was taking a break by a baghouse after shoveling hot pellets that were being expelled from a cooler. While the pellets were still being expelled from the cooler hopper, a flame shot out of the discharge pipe, then backdrafted up the pipe into the cooler and then into the bag house. The employee suffered burns to the hands and arms from the resulting explosion.",osha,"An employee was taking a break by a baghouse after shoveling hot pellets that were being expelled from a cooler. While the pellets were still being expelled from the cooler hopper, a flame shot out of the discharge pipe, then backdrafted up the pipe into the cooler and then into the bag house. The employee suffered burns to the hands and arms from the resulting explosion."
176,"An employee was removing an ambulance off a lift jack when the pressure against the jack caused the handle to kick upward, striking the employee on the left side of the head, neck, and jaw. The employee suffered injuries that required hospitalization.",osha,"An employee was removing an ambulance off a lift jack when the pressure against the jack caused the handle to kick upward, striking the employee on the left side of the head, neck, and jaw. The employee suffered injuries that required hospitalization."
177,"An employee was pushing a loaded molding cart through the store when they tripped and fell over the cart onto the floor, resulting in broken bones.",osha,"An employee was pushing a loaded molding cart through the store when they tripped and fell over the cart onto the floor, resulting in broken bones."
178,"On April 13, 2015, at approximately 1:30 p.m., an employee was shot in the left hand. Prior to the incident, a well tender found an issue at a well site. The well tender contacted a roustabout crew to repair and clean the area. The injured employee responded to the job to oversee the work, take pictures, and complete an incident report. After completing his work, he was driving away from the site and was stopped by a suspect dressed in camouflage, standing in the road. The suspect stood on the passenger side of the truck, played a recording that said ""stop drilling,"" and pointed a gun at the employee's head. The employee grabbed the gun and shoved it away from his head; the gun fired into his left hand.  The employee drove off and was hospitalized.",osha,"On April 13, 2015, at approximately 1:30 p.m., an employee was shot in the left hand. Prior to the incident, a well tender found an issue at a well site. The well tender contacted a roustabout crew to repair and clean the area. The injured employee responded to the job to oversee the work, take pictures, and complete an incident report. After completing his work, he was driving away from the site and was stopped by a suspect dressed in camouflage, standing in the road. The suspect stood on the passenger side of the truck, played a recording that said ""stop drilling,"" and pointed a gun at the employee's head. The employee grabbed the gun and shoved it away from his head; the gun fired into his left hand.  The employee drove off and was hospitalized."
179,"An employee was running a cable through trees when he came in contact with overhead powerlines, suffering second degree burns on his wrist.",osha,"An employee was running a cable through trees when he came in contact with overhead powerlines, suffering second degree burns on his wrist."
180,"While pulling a drilling pipe, the pipe broke and the jack fell onto the employee's foot crushing the steel toe portion into his foot.",osha,"While pulling a drilling pipe, the pipe broke and the jack fell onto the employee's foot crushing the steel toe portion into his foot."
