report_id,text,site,shift,contractor_flag,hazard_type_hint
11,"During the night shift at Maintenance Shop H, I was walking the perimeter when a delivery truck backed out of the loading bay too quickly. The driver didn’t see me and almost ran over my feet; I had to jump aside at the last second. Luckily no one was hit and I only got a slight bruise, but the incident shows our pedestrian‑vehicle safety protocols need tightening.",Maintenance Shop H,Night,False,vehicle_pedestrian_interaction
12,"During the day shift at Pipeline Yard D, a company employee was walking across the loading dock when a delivery truck backed up too close to the pedestrian path. The driver was distracted by a radio, and the employee had to step aside at the last second. No one was injured, but the truck’s stopping distance was longer than usual, and the employee noted the lack of a clear barrier or signage to keep pedestrians out of the vehicle zone.",Pipeline Yard D,Day,False,vehicle_pedestrian_interaction
13,"At Terminal C on the night shift, a contractor was walking through the loading bay when he didn’t wear his safety gloves or helmet. He slipped on a wet patch and nearly fell into a pool of diesel that was leaking from a damaged pipe. Luckily, the spill was contained and no one was injured, but the incident shows how critical PPE compliance is, especially in a high‑risk area like that.",Terminal C,Night,True,ppe_noncompliance
14,"During the night shift at Rig 4, a contractor was operating a hydraulic winch when the safety lockout tag was missing from the control panel. The winch slipped and the load swung toward the rig platform, narrowly missing the crew. The incident showed a clear equipment machinery hazard due to the absent safety barrier.",Rig 4,Night,True,equipment_machinery_hazard
15,"At Rig 4 during the day shift, a company employee was preparing to enter the wellhead enclosure for maintenance. While setting up the isolation valve, the employee noticed the gas detector reading was elevated, but the safety barrier was still in place. The employee decided to wait for a safety officer to confirm the area was safe before proceeding, avoiding a potential confined space entry hazard.",Rig 4,Day,False,confined_space_entry
16,"While on the day shift at Pipeline Yard D, a company employee was walking across the intersection when a delivery truck coming in from the loading bay ran a red light and swerved into the pedestrian crossing. The driver didn't see the pedestrian because the guardrail that normally separates vehicles from the crossing was missing, leaving the employee only a few feet from being hit. The employee stepped back just in time, but the truck's bumper clipped his shoulder and the guardrail broke. The incident was logged as a near miss, and the yard manager is ordering immediate replacement of the missing barrier.",Pipeline Yard D,Day,False,vehicle_pedestrian_interaction
17,"Night shift at Refinery B: A contractor was walking across the loading dock when a maintenance vehicle, driven by an on‑site employee, accelerated too quickly and almost clipped him. The contractor narrowly avoided being hit, but the incident shows the need for better traffic control signage in that area. No one was injured, but the near‑miss highlighted how easily the crew could get caught in vehicle traffic.",Refinery B,Night,True,vehicle_pedestrian_interaction
18,"At Terminal C on the night shift, a contractor was working on the roof of the storage silos. While setting up a ladder, he stepped off the top rung and fell about three feet to the concrete floor, scraping his knee. The fall was a near‑miss that could have been worse if the ladder had not been properly secured.",Terminal C,Night,True,fall_from_height
19,"During the day shift on Rig 4, I saw a company employee walking through the welding zone without wearing the required safety glasses or hearing protection. The employee was standing very close to an active hot‑work area, and a spark from a nearby torch almost hit their face before the operator realized the breach and backed away. The incident highlighted a clear lapse in PPE compliance that could have led to serious eye or ear injury.",Rig 4,Day,False,ppe_noncompliance
20,"During the night shift at Refinery B, a contractor was working on the valve pit without a face shield, despite the visible PPE signage. The contractor’s visor slipped off, and he almost hit the hot pipe that was still in operation, but the safety gate kept him from serious injury. The incident shows the contractor ignored PPE requirements, creating a near‑miss situation.",Refinery B,Night,True,ppe_noncompliance
21,"During the day shift at Refinery B, a contractor was walking across the maintenance corridor when he slipped on a patch of oil that had leaked from a nearby pipe. The spill had not been marked with a warning tape, and there was no spill containment barrier in place, so the contractor stumbled but managed to catch himself on a handrail before falling. The incident highlighted a slip‑trip hazard due to the missing spill containment barrier and unmarked oil spill.",Refinery B,Day,True,slip_trip_hazard
22,"Late night on Rig 4, a company employee was walking toward the loading dock when a maintenance truck backed out of the bay and almost ran into him. The driver missed the employee’s position by only a couple of feet, and the truck’s rear camera didn’t display the obstacle. Luckily, the employee stepped back just in time and no one was injured, but the incident highlights how the pedestrian walkway was too close to the vehicle turnaround path.",Rig 4,Night,False,vehicle_pedestrian_interaction
23,"During the night shift at Refinery B, I saw a company employee walking in the high‑pressure line area without the required hard hat and safety boots. He was just about to walk past a flashing hazard sign when the protective barrier on the railing fell apart, and he almost lost his balance. Luckily, the guard rail was still intact enough to stop him, but the incident shows how bad PPE noncompliance can lead to near‑misses.",Refinery B,Night,False,ppe_noncompliance
24,"Night shift at Rig 4: a contractor was attempting to enter the maintenance hatch of the storage tank. He didn’t secure the proper lock‑out tag and the hatch remained open. While he was inside, the ventilation fan tripped off, and he could feel the air getting stale. Luckily he got out before any gas build‑up happened, but the hatch lock was still missing.",Rig 4,Night,True,confined_space_entry
25,"During the day shift at Refinery B, a company employee was working on the 500 bar line when the isolation valve failed to lock. The valve slipped open while the worker was disconnecting the feed pipe, causing a sudden surge of hot fluid. Luckily the safety interlock on the control panel tripped, and the worker was able to jump out of the way before the fluid hit the equipment. The incident was reported and the valve is now being replaced.",Refinery B,Day,False,energy_isolation_failure
26,"During the day shift at Refinery B, a contractor was working on a maintenance task near the pressure vessel when the lockout tag was accidentally removed. The vessel was still pressurized, so a sudden pressure release sent a burst of steam toward the worker’s face, forcing him to step back. Fortunately, the contractor only suffered a minor burn and was able to get medical attention on site.",Refinery B,Day,True,energy_isolation_failure
27,"At Pipeline Yard D during the night shift, a company employee was walking through the yard with his hard hat off and no gloves on while moving a stack of pipe fittings. He slipped on a wet patch near the storage bin and the fitting he was handling slid off his hands, rolling toward the rail line. The falling pipe could have hit the train tracks, but a safety guard was in place that stopped it from reaching the rails. The employee was shaken but only suffered a minor bruised elbow.",Pipeline Yard D,Night,False,ppe_noncompliance
28,"While moving a tanker across the loading area in Pipeline Yard D during the day shift, an employee slipped on a wet patch near the top of the stack and lost balance. He fell about 2 feet to the concrete floor but landed on a padded guardrail that was just installed, so he only sustained a minor bruise. The incident highlighted that the slip‑resistant coating on that section was still drying.",Pipeline Yard D,Day,False,fall_from_height
29,"At Loading Bay G during the day shift, a contractor was unloading a gas tanker when the valve on the tank’s gas line popped off, releasing a small burst of vapour. The vapour drifted toward the storage area and sparked a weak flame that quickly fizzled out, but the contractor had to move back a few metres before the flare could spread. Luckily the safety barrier around the tanker was missing, so the spill could have gotten worse, but we managed to contain it with the portable fire extinguisher on site.",Loading Bay G,Day,True,fire_or_gas_leak_near_miss
30,"During the night shift at Drilling Unit F, a company employee slipped on a wet patch near the feed line. The spill had come from a leaking hose that wasn’t marked, so the worker stumbled and almost fell onto the heavy equipment, but a quick reaction kept him from serious injury. The incident highlights the missing spill containment that created a slip‑trip hazard.",Drilling Unit F,Night,False,slip_trip_hazard
31,"At Rig 4 on the night shift, a company employee was walking along the perimeter when a service truck backed out of a loading bay and clipped a barrier that had been removed for maintenance. The employee was pushed but didn’t get hurt; the barrier should have stopped the truck. It was a close call that exposed the need to keep all safety rails in place, even during routine work.",Rig 4,Night,False,vehicle_pedestrian_interaction
32,"During the night shift at Refinery B, a contractor was tightening a valve on the gas line when a sudden pressure spike caused a small section of the pipe to crack. The contractor heard a hiss and saw a faint blue gas plume, but the flame arrestor had been removed for maintenance, so the gas didn’t ignite. The contractor quickly shut the line off and sealed the crack with a patch kit before the gas could spread.",Refinery B,Night,True,fire_or_gas_leak_near_miss
33,"During the day shift at Drilling Unit F, a company employee noticed a faint burning smell coming from the gas line near the rig floor. He stopped the line and checked the pressure gauge, but the gas flow had already spurted slightly onto the exposed pipe, creating a small flame that was quickly smothered with a fire blanket. The employee reported the incident, and we shut down the unit for a full inspection of the gas leak system.",Drilling Unit F,Day,False,fire_or_gas_leak_near_miss
34,"During the day shift at Terminal C, a company employee slipped on a wet patch while walking near the top of the loading dock and lost his footing, falling about two feet down onto the concrete floor. He was shaken but only sustained a minor bruise, and the incident highlighted that the anti-slip mats in that area need replacement.",Terminal C,Day,False,fall_from_height
35,"During the night shift at Refinery B, a company employee slipped on a wet patch near the valve pit while moving a tank. The spill had been cleaned but no warning tape was laid out, so the worker almost fell into the pit and only caught themselves on a nearby pipe. The slip caused a minor injury to the wrist and highlighted a missing slip‑trip barrier.",Refinery B,Night,False,slip_trip_hazard
36,"During the day shift on Rig 4, a company employee began entering a maintenance hatch that was not properly sealed. He noticed a faint odor of diesel fumes but was not wearing a full respirator because the rack was missing. The hatch latch slipped and he slipped slightly, catching his glove, but he was able to pull himself out before any serious injury occurred. The incident shows the hatch’s safety barrier was not in place, posing a real confined space risk.",Rig 4,Day,False,confined_space_entry
37,"During the night shift at Drilling Unit F, a company employee slipped on a wet patch near the top of the scaffold and fell about two feet before he hit the padded floor. He only sustained a bruised arm, but the incident showed that the safety railing was not properly positioned, so the guardrail system failed to prevent the slip. The crew immediately secured the area, replaced the broken railing, and reminded everyone to keep the walkways dry.",Drilling Unit F,Night,False,fall_from_height
38,"At Rig 4 during the night shift, a contractor slipped on a slick patch of oil near the hoist station because the spill cover had been removed for maintenance and the spill containment tray was not in place. He caught himself on the rig ladder, but the ladder was already damp and he almost lost his footing. The spill area was marked with a red flag, but the flag was too close to the edge, so the contractor walked into the hazard zone without noticing it.",Rig 4,Night,True,slip_trip_hazard
39,"During the day shift at Terminal C, a company employee noticed a faint orange glow from the storage tank area, indicating a possible gas leak. He immediately stopped work, shouted a warning, and walked to the fire alarm system, which rang promptly. The employee was able to evacuate the zone before any flame appeared, and the gas detector later confirmed a small leak that was quickly sealed by the maintenance crew.",Terminal C,Day,False,fire_or_gas_leak_near_miss
40,"While clearing the storage area at Terminal C on the day shift, a contractor was passing a gas cylinder through the loading dock. The cylinder’s valve was not fully closed, and a small hiss of gas escaped, but the contractor quickly noticed the odor and stopped, sealing the valve immediately. No flames or ignition source was present, and no one was exposed to any dangerous concentration of gas. The contractor’s quick reaction prevented a potential fire or explosion near the terminal.",Terminal C,Day,True,fire_or_gas_leak_near_miss
41,"During the night shift at Storage Site E, a contractor was lowering a pallet of piping from a 4‑meter high scaffold. The safety bar that should have been in place to prevent falling was missing, so the pallet slipped off the edge and hit the concrete floor below, but the contractor was not injured. He realized the bar had been removed for a previous repair and that no temporary guardrail had been installed.",Storage Site E,Night,True,fall_from_height
42,"During the night shift at Refinery B, a contractor was repairing a roof vent when the guard rail he was standing on collapsed. He fell only a few feet onto the concrete floor and got a minor cut on his hand, but the fall almost hit the adjacent piping. Thankfully no one else was hurt.",Refinery B,Night,True,fall_from_height
43,"During the day shift at Drilling Unit F, a company employee was observed walking through the high‑pressure pipe corridor without wearing the required hard hat and safety glasses. The employee’s lack of PPE left him vulnerable to potential falling debris, but fortunately no equipment fell during that moment. The incident was logged as a near‑miss, and the crew was reminded to check PPE compliance before re‑entering the area.",Drilling Unit F,Day,False,ppe_noncompliance
44,"During the day shift at Storage Site E, a company employee tripped over a loose cable that had fallen from a higher level pipe. The employee caught himself on a nearby stack of barrels and was able to continue work with only a minor back strain, but the incident revealed that the cable was not properly secured and the area lacked a clear warning sign. The employee reported the tripping hazard to the supervisor, and the cable was immediately re‑wrapped and the spot marked with a caution tape.",Storage Site E,Day,False,slip_trip_hazard
45,"During the night shift on Rig 4 a contractor was working on the top of the platform when he lost his footing on a wet edge. He slipped and fell about three feet before the guardrail caught his foot, breaking his wrist. The fall was prevented from being more serious because the safety barrier was intact and the fall arrest system was engaged.",Rig 4,Night,True,fall_from_height
46,"During the night shift at Storage Site E, a contractor was working on the roof of the storage tank when he slipped off the edge of the platform. He caught himself on a nearby pipe but twisted his ankle and had to be moved to the on‑site medical bay. The fall risk was high because the guardrail had been removed for maintenance and no temporary barrier was in place.",Storage Site E,Night,True,fall_from_height
47,"During the day shift at Refinery B, a company employee slipped on a patch of oil that had leaked from a cracked pipe near the conveyor line. The floor was slick and there was no spill containment barrier in place, so the worker stumbled but caught himself on the nearby rail. He didn't fall, but the incident highlighted that a spill containment system was missing and should be installed immediately.",Refinery B,Day,False,slip_trip_hazard
48,"During the day shift at Storage Site E, a contractor was performing routine valve checks when he attempted to lockout the main feed line. The lockout tag was missing, and the valve remained energized; the contractor was forced to shut the line manually, but the line spurted out a burst of steam that knocked him off balance. He was able to get up without injury, but the incident exposed a clear energy isolation failure.",Storage Site E,Day,True,energy_isolation_failure
49,"At Pipeline Yard D on the day shift, a company employee was attempting to enter a sealed steel trough for maintenance. The lockout tag on the entry hatch was not properly engaged, so the employee slipped and the hatch popped open, dropping a piece of steel into the trough. The employee narrowly avoided a serious injury by grabbing the hatch in time, but the incident shows a clear failure of the safety barrier.",Pipeline Yard D,Day,False,confined_space_entry
50,"Night shift at Rig 4, a contractor was entering a pump room without the required breathing hood. He slipped on a wet patch, nearly fell into the sump, and only stopped when the safety guard was pulled down manually. The incident highlighted that the confined‑space entry barrier was missing and the contractor had not checked for the presence of a proper ventilation system before starting work.",Rig 4,Night,True,confined_space_entry
51,"While unloading a delivery truck at Terminal C during the night shift, a contractor tripped over a loose pallet that had been left on the concrete deck. The contractor fell forward but managed to grab the railing and avoided a serious injury. The pallet was not marked as a hazard and the area was not flagged for caution, creating a slip/trip risk for anyone working nearby.",Terminal C,Night,True,slip_trip_hazard
52,"During the night shift on Rig 4, a company employee walking across the main access lane was almost hit by a service truck that didn't notice the pedestrian until the last second. The driver saw the employee just in time and stopped, but the employee had to step back and was shaken. The incident highlighted that the temporary speed‑limit sign had been misplaced, so it didn’t warn the driver about the pedestrian crossing.",Rig 4,Night,False,vehicle_pedestrian_interaction
53,"During the day shift at Drilling Unit F, a company employee was walking across the access lane when a maintenance truck, stopped in the middle of the lane, failed to stop in time. The truck’s driver was distracted by a radio conversation and didn’t see the employee until the worker was just inches away, causing a collision that knocked the employee off his feet and she sprained her ankle. The incident was a near‑miss for serious injury, but the lack of a safety barrier in that lane let the driver’s path cross the pedestrian route.",Drilling Unit F,Day,False,vehicle_pedestrian_interaction
54,"During the night shift in Pipeline Yard D, a company employee was working on valve 12 when the energy isolation lock failed to engage. He heard a sudden hiss of gas as the valve opened automatically, and the pressure surge blew the protective cover off. Thankfully, the employee stepped back just in time, but the burst cover scattered shrapnel across the yard, causing a small cut on his forearm.",Pipeline Yard D,Night,False,energy_isolation_failure
55,"During the day shift at Rig 4, a company employee noticed a faint odor of gas near the drilling rig. The employee shut down the valve but the pressure relief vent was not properly sealed, so a small flame briefly flickered on the surface of the rig’s piping. Thankfully, the fire suppression system activated immediately and the flame was contained before it could spread. The employee reported the near miss and the missing safety barrier to the shift supervisor.",Rig 4,Day,False,fire_or_gas_leak_near_miss
56,"At Pipeline Yard D during the day shift a contractor was walking back from the loading bay and slipped on a patch of wet oil that had seeped onto the concrete floor. The contractor immediately caught himself on a nearby pallet and avoided a fall, but the slick spot was a clear slip‑trip hazard that could have caused a serious injury. The spill was cleaned up quickly after the incident and a warning sign was posted until the area was dry.",Pipeline Yard D,Day,True,slip_trip_hazard
57,"Night shift at Rig 4: a contractor was working on the downhole valve when the isolation lock failed to engage; he slipped, the valve opened suddenly, and a spray of hot fluid hit the ground just a few feet away. He only got a minor burn and no one else was harmed, but the barrier that should have kept the hot fluid from escaping was missing.",Rig 4,Night,True,energy_isolation_failure
58,"Night shift at Pipeline Yard D, a company employee was walking toward the loading dock when a maintenance truck started moving without a stop sign in place. The driver didn’t see the pedestrian until the truck was almost at the person, and the employee had to jump out of the way at the last moment. The truck’s horn didn’t sound, and the safety barrier that normally separates the pedestrian path from the vehicle lane was missing, making the incident close to a collision.",Pipeline Yard D,Night,False,vehicle_pedestrian_interaction
59,"At Rig 4 during the day shift a contractor was working on the gas line when the isolation valve failed to lock. He tried to shut it off, but the valve slipped and gas started leaking into the control room. The contractor had to pull back and the crew had to shut down the operation to ventilate the area.",Rig 4,Day,True,energy_isolation_failure
60,"During the day shift at Terminal C, a company employee was attempting to perform routine maintenance on the storage tank manifold when the energy isolation switch failed to lock. The valve was still live and the employee slipped, nearly contacting the high-pressure pipe. Luckily the safety guard rail was still in place, stopping a serious injury.",Terminal C,Day,False,energy_isolation_failure
61,"Night shift at Terminal C: an employee was climbing the maintenance ladder to replace a light fixture. He slipped on a wet rung and fell about 3 feet onto the concrete floor. Luckily, he only got a minor bruise and the fall was stopped by the guard rail that was already in place, but the ladder was damaged and needs replacement.",Terminal C,Night,False,fall_from_height
62,"While performing the night shift maintenance at Storage Site E, I noticed a faint orange glow coming from the tank roof area. The employee was working under the tank when a small burst of gas slipped through a cracked pipe, but the fire alarm system kicked in instantly and the crew pulled the emergency shut‑off. No one was hurt, but the cracked pipe needs to be replaced before the next shift.",Storage Site E,Night,False,fire_or_gas_leak_near_miss
63,"During the day shift at Refinery B, a company employee slipped on a wet patch left by a leaking pipe in the maintenance bay. The floor had a small, unmarked spill that wasn't cleared, so the worker lost balance and almost dropped his toolbox. Luckily he caught himself on the nearby wall, but the incident highlighted that the spill had not been properly flagged or cleaned.",Refinery B,Day,False,slip_trip_hazard
64,"During the day shift at Terminal C, a contractor was attempting to work on the pressure line when the isolation valve failed to close properly. The valve remained partially open, letting a small burst of high-pressure gas escape, but the safety barrier had been removed for maintenance, so no one was directly hit. The contractor quickly shut the valve manually and sealed the line, but the incident highlighted that the isolation system was not reliable and could have caused a serious release if the valve had not been manually overridden.",Terminal C,Day,True,energy_isolation_failure
65,"During the day shift at Drilling Unit F, a contractor was moving a hydraulic line when the energy isolation valve for the drilling rig failed to close. The line started to discharge fluid under pressure, and the contractor had to quickly shut off the supply with a backup valve. Luckily, no one was injured, but the incident shows the isolation system wasn’t reliable and could have caused a serious spill if a safety barrier had been missing.",Drilling Unit F,Day,True,energy_isolation_failure
66,"During the night shift at Pipeline Yard D, a company employee was climbing a 12‑foot maintenance ladder to replace a valve on a storage tank when the ladder slipped from its footing. The employee fell a few inches but landed on a padded mat, suffering only a bruised wrist. The fall highlighted that the ladder’s stabilizer was missing and the area lacked a proper guardrail.",Pipeline Yard D,Night,False,fall_from_height
67,"Night shift at Refinery B: a contractor was welding on a pipe line that had been left in the “on‑line” state because the energy isolation lockout was not properly engaged. When the valve opened, hot steam burst out, splashing the contractor and forcing him to jump back. Thankfully he was only splashed and didn’t sustain any serious injury, but the incident shows the isolation failure risk.",Refinery B,Night,True,energy_isolation_failure
68,"During the day shift on Rig 4 a contractor was moving a pallet of spare parts along the gangway. The floor was slick with a spill of hydraulic fluid that had not been cleaned up, and the contractor slipped, almost falling into the open wellhead shaft. The safety barrier around the wellhead was missing that day, so the slip could have led to a serious fall.",Rig 4,Day,True,slip_trip_hazard
69,"During the night shift at Refinery B, a contractor was working on the roof of the storage tank when his safety harness slipped from its anchor point. He fell a few feet onto the concrete floor, but was caught by a nearby guardrail before any serious injury. The incident highlighted that the harness lanyard was old and had not been inspected, and the guardrail was not properly secured.",Refinery B,Night,True,fall_from_height
70,"Night shift at Rig 4, a contractor was welding a pipe bracket when the safety guard on the hydraulic jack slipped off. He nearly dropped the jack onto the ground, but it just bounced back, and nobody was hurt. The guard should have been secured or replaced before the job.",Rig 4,Night,True,equipment_machinery_hazard
71,"At Refinery B on the day shift, a company employee was working on the maintenance of the centrifugal separator when the guard on the motor housing came loose and the wheel spun out, nearly catching his forearm. The safety barrier around the motor was missing, so the employee had to step in quickly to pull the wheel back into place. The incident was a close call, but no one was hurt.",Refinery B,Day,False,equipment_machinery_hazard
72,"At the loading bay G during the night shift, a company employee was working on the tank line when the valve isolation lock slipped, leaving the line still energized. He noticed a small spark when he tried to pull the valve open, and immediately shut down the feed line to stop the flow. The incident was a near‑miss; the equipment didn’t rupture, but the failure of the isolation lock posed a serious risk of a high‑pressure release.",Loading Bay G,Night,False,energy_isolation_failure
73,"On the day shift at Terminal C, a company employee slipped on a wet patch left after a routine spill clean‑up. The employee nearly fell over a short gap between the walkway and a storage rack, but the guardrail prevented a fall. The spill was not covered in time and the gap was not marked, creating a slip‑trip hazard.",Terminal C,Day,False,slip_trip_hazard
74,"During the day shift at Refinery B, a company employee was walking through the piping corridor without a hard hat or safety glasses, ignoring the posted PPE signs. As a heavy pipe crane passed overhead, the employee's head was almost struck by a hanging pipe, narrowly avoiding injury. The incident highlights a clear PPE noncompliance that could have caused serious harm.",Refinery B,Day,False,ppe_noncompliance
75,"During the night shift at Terminal C, a company employee was operating a conveyor belt that feeds raw material into the storage tanks. While performing a routine inspection, the employee noticed the safety guard on the belt had been removed to facilitate cleaning and was not replaced. The belt slipped, and the employee was almost caught by the moving belt. The guard was not in place, creating a clear equipment machinery hazard.",Terminal C,Night,False,equipment_machinery_hazard
76,"During the day shift at Rig 4, a company employee slipped on a wet patch near the loading chute because the spill marker had been removed and the area wasn’t flagged. The employee caught themselves and avoided injury, but the spill still posed a trip risk for anyone in the zone. The crew noted that the barrier pad was missing and the spill containment plan was not updated.",Rig 4,Day,False,slip_trip_hazard
77,"During the night shift at Pipeline Yard D, a company employee was checking a valve when a sudden hiss of gas was heard. The gas escaped from a cracked line right beside the worker, but the fire suppression system kicked in quickly and the gas dispersed before it could ignite. The employee managed to escape safely, and the incident was logged as a near‑miss.",Pipeline Yard D,Night,False,fire_or_gas_leak_near_miss
78,"At Loading Bay G during the day shift, a contractor was seen walking through the hazardous spill area without a face mask or safety boots. He was only wearing a jacket and gloves, so he risked inhaling vapors and getting cut by exposed piping. The supervisor noticed immediately and called him to stop, but the contractor kept moving because he thought the hazard was minor. The incident was recorded as a near‑miss since no injury occurred but the PPE violation could have caused serious harm.",Loading Bay G,Day,True,ppe_noncompliance
79,"During the night shift at Refinery B, a company employee slipped on a wet patch near the storage tank that had not been flagged with a warning sign. He caught himself on the edge of a maintenance ladder but lost balance, almost falling onto the piping below. The spill had come from a leaking valve that was not cleaned up after the day shift, creating a clear slip risk that went unnoticed. The employee was fine but the incident highlighted that the spill area lacked proper signage and barriers.",Refinery B,Night,False,slip_trip_hazard
80,"During the day shift on Rig 4, a contractor was tightening a gas line when a loose fitting popped off, releasing a burst of gas that quickly ignited a small flame at the pipe junction. The contractor was only a few feet away but managed to move out of the way before the fire spread; the incident was contained with the portable extinguisher on standby. The fire alarm sounded, and the crew evacuated the area, but no one was injured.",Rig 4,Day,True,fire_or_gas_leak_near_miss
81,"On the day shift at Terminal C, I saw a company employee walking near the loading bay without a hard hat or safety glasses. He was reaching for a pallet of chemicals and almost got his hand caught in a moving conveyor belt, but he stopped just in time. The incident was a close call and showed that the employee was not following the required PPE policy.",Terminal C,Day,False,ppe_noncompliance
82,"While walking from the mud pit to the rig bay on the night shift at Rig 4, I saw a company employee standing beside the 50‑bar riser pipe without a harness or safety lanyard. He was holding a large drill bit in one hand and a steel jackhammer in the other, and he was ignoring the posted safety signage that required a full body harness in that area. The employee slipped on a slick patch of mud, lost his balance, and the jackhammer swung, narrowly missing his own head and a nearby support beam. The fall was stopped by the rig’s overhead safety barrier, but the incident exposed a clear lapse in PPE compliance that could have caused serious injury if the employee had hit the pipe or fallen into the wellhead.",Rig 4,Night,False,ppe_noncompliance
83,"Night shift on Rig 4, a contractor was seen walking across the open trench area without wearing the required safety harness and hard‑hat. He slipped on a patch of loose gravel and nearly fell into the excavation; a safety guard had been removed for maintenance and was not in place. The incident was flagged immediately and the contractor was sent back to the yard to re‑equip with proper PPE before re‑entering the work zone.",Rig 4,Night,True,ppe_noncompliance
84,"During the night shift at Terminal C, a company employee was standing beside the loading conveyor when the safety guard on the machine had fallen off and was not in place. The guard was supposed to prevent the worker from getting caught in the moving parts, but it was missing, so the employee almost got his hand snagged. He stopped the conveyor and reported the missing guard to the supervisor.",Terminal C,Night,False,equipment_machinery_hazard
85,"During the night shift on Rig 4, a contractor was walking across the concrete pad without wearing the required hard hat and safety glasses. The contractor clipped his sleeve against the edge of a support beam, nearly falling onto the hot pipe that was still in operation. The incident was reported as a near miss, but the lack of PPE was noted as a serious noncompliance issue.",Rig 4,Night,True,ppe_noncompliance
86,"During the night shift at Terminal C, a company employee entered a storage tank without using the required pressure gauge check. He stopped to check the valve handle but the tank pressure rose to a hazardous level while he was inside. Luckily the emergency shut‑off was activated before any serious exposure occurred, but the incident shows the confined space entry protocol was not followed.",Terminal C,Night,False,confined_space_entry
87,"At Terminal C on the day shift, a company employee entered a maintenance hatch on the fuel storage tank without first checking the pressure gauge; the hatch was not marked as a confined space entry point and no air quality test had been done. As the worker descended, a burst of stale air escaped, causing him to cough and stumble. He pulled himself back to the platform, and the supervisor immediately shut off the ventilation fan and called for a confined space rescue team.",Terminal C,Day,False,confined_space_entry
88,"Night shift at Terminal C, a company employee slipped on a wet patch near the storage rack and nearly fell onto the pipeline. He quickly braced himself, but the slick surface was due to a leaking hose that hadn't been marked. The spill was cleaned up after the incident, and a temporary spill marker was placed.",Terminal C,Night,False,slip_trip_hazard
