report_id,text,site,activity,shift,report_date,is_contractor,source
12,"At Rig 4 on the night shift, a company employee noticed a faint orange glow near the valve chamber, indicating a potential gas leak. The worker quickly sealed the valve and called the fire alarm, but a damaged safety barrier failed to contain the odor. Thankfully, no ignition occurred, and the leak was contained before any fire started.",Rig 4,Maintenance,Night,2026-04-03,False,synthetic
13,"During the day shift at Rig 4, a company employee was entering a maintenance hatch that had no proper lockout/tagout on place. While going in, the ventilation fan suddenly failed and the air inside the hatch went stale, so the worker had to hold his breath and pull back quickly, almost getting caught on the hatch door. The incident was a near miss because the hatch latch was not properly engaged, but the employee was unharmed.",Rig 4,Confined Space Entry,Day,2026-04-19,False,synthetic
14,"Night shift at Drilling Unit F, a contractor was going in for a routine inspection of the gas‑tight vent stack. He slipped on the wet concrete and fell into the vent’s access hatch before he could secure the hatch. The hatch was open because the lock‑out tag was missing, so he ended up in the confined space and had to be pulled out by the crew.",Drilling Unit F,Confined Space Entry,Night,2026-04-25,True,synthetic
15,"On the day shift at Rig 4, a contractor was seen working on the rig floor without his hard hat and safety glasses. He was walking near the drill head when a loose piece of metal slipped from the rig and almost hit him. Luckily the contractor kept his feet in the safety shoes, but the lack of proper PPE could have caused serious injury.",Rig 4,Housekeeping,Day,2026-03-09,True,synthetic
16,"During the night shift at Terminal C, a contractor was working on the maintenance of the LPG line. While attempting to isolate the line, the valve failed to lock into the off position, leaving the line still energized. The contractor had to quickly pull away and warn the crew, but a few meters downstream the pressure relief valve tripped, sending a burst of gas into the work area. Fortunately, no one was injured, but the incident shows the isolation procedure was not properly followed and the safety barrier was ineffective.",Terminal C,Hot Work,Night,2026-08-18,True,synthetic
17,"Night shift at Pipeline Yard D: a contractor was using a hydraulic crane to lift a pipe segment when the boom tipped over sideways. The crane's safety latch was not engaged, so the load swung and struck the support rail, causing a small dent and a loud clang. Luckily nobody was hurt, but the incident shows the latch was missing and the crane’s stability margin was exceeded.",Pipeline Yard D,Lifting,Night,2026-08-08,True,synthetic
18,"During the day shift at Refinery B, a company employee was walking past the storage tanks when a sudden flare of flame popped up near the vent line. The worker realized a gas leak had started but it was just enough to ignite a small spark that fizzled out before it could spread. Luckily the safety valve was still functional and the flare was contained, but the employee had to evacuate the area and report the near-miss.",Refinery B,Maintenance,Day,2026-07-31,False,synthetic
19,"During the day shift on Rig 4, a company employee was walking to the loading dock when a service truck entered the pedestrian zone without stopping. The driver swerved to avoid a rock, causing the employee to stumble and almost get hit. Luckily the truck slowed enough to avoid a collision, but the employee had a minor bruise and the incident highlighted that the safety barrier that should have separated vehicles from workers was missing that day.",Rig 4,Logistics,Day,2026-04-27,False,synthetic
20,"During the night shift at Refinery B, a company employee was walking through the chemical storage area without wearing the required hard hat and safety goggles. The worker walked right next to a leaking pipe; the exposed skin could have come into contact with the corrosive fluid, but the employee stopped just before the spray reached them. The incident was logged as a near‑miss because the PPE omission could have caused a serious burn if the leak had worsened.",Refinery B,Maintenance,Night,2026-08-04,False,synthetic
21,"During the day shift on Rig 4 a contractor was operating a portable drilling rig when the safety guard on the drill bit fell off; the contractor didn’t notice and the bit slipped, scraping the floor and creating a large splintered steel spill that almost got stepped on by a nearby crew member. The contractor stopped the rig immediately and called for a safety check, but the guard was not reinstalled until the end of the shift.",Rig 4,Lifting,Day,2026-08-21,True,synthetic
22,"At Drilling Unit F, during the night shift, a contractor was operating the hydraulic jack to lift a drill string section when the locking pin failed to engage. The jack slipped, dropping the weight onto the adjacent pipe ladder and shattering it. The contractor escaped with a minor bruised arm, but the incident highlighted a missing safety guard on the jack’s pivot.",Drilling Unit F,Maintenance,Night,2026-07-13,True,synthetic
23,"During the night shift at Refinery B, a company employee was climbing the outer support ladder to replace a loose pipe. He lost his footing on a wet rung and slipped, falling about two meters to the concrete floor. He sustained minor bruises and a sprained wrist, but the fall did not hit any equipment or personnel.",Refinery B,Maintenance,Night,2026-07-31,False,synthetic
24,"At Terminal C during the day shift, a company employee was walking near the storage tanks when a faint odor of gas wafted past. The worker stopped immediately, turned off the nearby valve, and called the safety officer. No fire erupted, but the incident highlighted a missing gas leak detector in that area.",Terminal C,Maintenance,Day,2026-07-24,False,synthetic
25,"At Loading Bay G on the night shift, a company employee was handling a spill container without wearing the required gloves. He slipped on a wet spot and almost slipped into the spill, but the safety guard stopped him. The lack of PPE put him at risk and the incident was logged as a near‑miss.",Loading Bay G,Vehicle Operations,Night,2026-07-30,False,synthetic
26,"While doing a routine inspection at Rig 4 on the day shift, a company employee noticed a faint hiss coming from the gas line near the valve station. He immediately shut down the valve but found the safety isolation block was missing, so the leak could have spread into the work area. The employee marked the spot and called the supervisor to install a proper barrier before the leak could ignite.",Rig 4,Hot Work,Day,2026-07-01,False,synthetic
27,"During the night shift at Storage Site E, a company employee was handling a pressure line when a small spark ignited a flammable vapor that had leaked from a cracked valve. The flame spread quickly but was stopped by the automatic fire suppression system before it could reach the storage tanks. The employee had to evacuate the area and report the incident, but no one was injured.",Storage Site E,Hot Work,Night,2026-04-05,False,synthetic
28,"During the night shift at Terminal C, a company employee attempted to enter the storage tank venting hatch to check a faulty pressure gauge. The employee didn’t use the required air‑monitoring and the hatch’s lock was missing, so the hatch opened unexpectedly, letting a sudden rush of toxic vapor into the space. The worker was able to exit quickly and pull the hatch closed, but the incident highlighted that the lock and proper confined‑space protocols were not in place.",Terminal C,Maintenance,Night,2026-04-24,False,synthetic
29,"On the day shift at Refinery B, a contractor was carrying a bulk container down the maintenance aisle. The floor had a sudden patch of wet oil from a recent leak, and he slipped, nearly falling onto a stack of pallets. The fall was caught by the surrounding crew, and the container was moved to a dry spot before anyone was hurt.",Refinery B,Logistics,Day,2026-06-21,True,synthetic
30,"At Rig 4 on the day shift, a company employee entered a small vent shaft to replace a faulty valve. While inside, he realized the breathing apparatus was not properly sealed, so he had to exit immediately to avoid inhaling toxic fumes. The entry platform’s guard rail had been removed for maintenance, but the employee stopped short of the edge and used his hands to keep himself from falling. No injuries, but the incident shows the need to keep safety barriers in place during confined space work.",Rig 4,Maintenance,Day,2026-04-05,False,synthetic
31,"Night shift at Pipeline Yard D, a contractor was moving a 30‑inch pipe segment without his hard hat and steel‑toed boots. He stepped onto a small pile‑up of gravel, and a heavy clamp slipped off the pipe, striking his left leg. The impact ripped through the leather of his knee pad, but no serious injury was reported because he was wearing a full‑sleeve shirt. The incident highlighted a clear failure in PPE compliance.",Pipeline Yard D,Confined Space Entry,Night,2026-04-02,True,synthetic
32,"In the Pipeline Yard D on the day shift, a contractor was walking near the inspection gate when he forgot to wear his hard hat and steel-toe boots. He was only a few feet from a partially opened safety barrier that was still down. The missing PPE and lack of a visible barrier made it look like a near-miss, but the contractor could have easily slipped and fallen onto the unguarded pipe.",Pipeline Yard D,Drilling Operations,Day,2026-04-22,True,synthetic
33,"At the maintenance shop H during the day shift, a company employee was working on the roof of the storage tank when he slipped on a wet patch left from a recent spill. He almost fell, but the guard rail held him in place. The spill area was not marked and the safety signage was missing, so the employee had to climb back down carefully.",Maintenance Shop H,Housekeeping,Day,2026-04-13,False,synthetic
34,"On Rig 4 during the day shift, a company employee was climbing the rig ladder to replace a missing guard on the pipe‑handling platform. While reaching for a bolt, the guard had slid off, and the employee slipped, losing his footing for a split second before grabbing the nearest rail. He was able to recover without injury, but the incident shows the platform guard was either not installed or had failed, creating a fall hazard.",Rig 4,Housekeeping,Day,2026-07-31,False,synthetic
35,"At Terminal C on the night shift a contractor was operating a hydraulic jack to lift a cracked valve. While the jack was on the load, the safety lockout bar had been removed to speed up the job and the jack slipped, throwing the valve against the concrete wall. The contractor was only grazed, but the incident shows the equipment hazard when a safety barrier was missing.",Terminal C,Drilling Operations,Night,2026-03-31,True,synthetic
36,"During the day shift on Rig 4, a company employee was attempting to start the hydraulic pump after a routine maintenance check. The isolation lockout was not engaged, and when the operator turned the key, the system powered up unexpectedly. The employee was immediately pulled back to safety, but the sudden pressure surge caused a burst in the pipe, spraying hydraulic fluid across the work area. The incident highlighted a clear failure of the energy isolation procedure.",Rig 4,Hot Work,Day,2026-08-30,False,synthetic
37,"During the day shift at Rig 4, a company employee was walking across the site when a service truck accelerated out of control and almost ran over him. The driver was distracted, and the employee barely stepped aside in time. The incident was a clear near‑miss, highlighting a vehicle‑pedestrian interaction risk that needs to be addressed with better signage and driver training.",Rig 4,Logistics,Day,2026-08-17,False,synthetic
38,"At Terminal C on the day shift, a contractor was working on the roof of the storage bay when the guard rail that had been set up for his task collapsed. The rail was only partially secured, and as he leaned to check a pipe, he slipped and fell about 3 feet onto the concrete floor below. Luckily he only sustained a minor wrist sprain and was treated on site.",Terminal C,Maintenance,Day,2026-07-14,True,synthetic
39,"At Rig 4 on the night shift, a company employee noticed a faint burning smell coming from the tank area. While inspecting the gas lines, the worker saw a small flame flare up near a damaged pipe, but the automatic fire suppression system kicked in before anything spread, so no fire actually broke out. The incident was a near miss, but it highlighted that the protective barrier around the pipe had been missing a seal and needed immediate repair.",Rig 4,Maintenance,Night,2026-03-30,False,synthetic
40,"During the night shift at Loading Bay G, a company employee was moving a pallet up onto the mezzanine platform when the hand rail slipped. He caught himself but lost balance and almost dropped 4 feet to the concrete floor below. The fall was stopped by a nearby safety net that was partially installed, but the employee still slipped and twisted his ankle. The incident was logged as a near‑miss.",Loading Bay G,Housekeeping,Night,2026-06-24,False,synthetic
41,"Night shift at Rig 4 when a company employee was trying to lock out the hydraulic pump after the work was done, but the lock‑out tag didn’t engage properly. The pump slipped back on and the employee was forced to grab it at the last second, missing a serious kick‑back. The incident shows the energy isolation was not correctly secured.",Rig 4,Maintenance,Night,2026-08-02,False,synthetic
42,"During the day shift on Rig 4, a company employee slipped while climbing a ladder to reach the top of the casing. He lost his footing on a wet rung, fell about 5 feet onto the concrete floor, and bruised his wrist. The fall was halted by the guardrail that was still in place, but the incident shows the ladder's footing was compromised by oil residue.",Rig 4,Maintenance,Day,2026-08-30,False,synthetic
43,"During the night shift at Drilling Unit F, a company employee slipped on a patch of spilled drilling fluid that had not been cleaned up. The employee was just about to reach for a safety barrier that was still being erected when the slip occurred. The slip caused the worker to lose balance, but they managed to catch themselves on a nearby pipe and avoided falling. The incident highlighted the need for immediate cleanup and proper barrier installation before shift end.",Drilling Unit F,Housekeeping,Night,2026-03-25,False,synthetic
44,"While working the day shift at Drilling Unit F, a contractor tripped over a loose cable that had come out of the maintenance belt. The cable was lying across the walk‑way and the contractor slipped, but only bruised his knee and had to step out for a quick check. The area had no safety barrier or warning flag, so the risk of a serious fall was high.",Drilling Unit F,Logistics,Day,2026-08-19,True,synthetic
45,"Night shift at Drilling Unit F, a contractor was walking across the wet hatchway when a loose cable slipped out of its holder and rolled onto the floor. He almost slipped, but managed to catch himself on the railing. The cable was still hanging at the end of the workbench, so the cable holder had to be replaced before the crew could resume drilling.",Drilling Unit F,Housekeeping,Night,2026-03-20,True,synthetic
46,"During the day shift on Rig 4, a company employee slipped on a puddle of oil that had leaked from a damaged pipe. The employee was walking across the hatchway when the slick caused a loss of balance, but he managed to catch himself on a nearby support beam and avoided a fall. The spill was quickly contained with a spill kit, but the incident highlighted that the spill containment barrier on that section of the hatch was missing and needs to be installed ASAP.",Rig 4,Housekeeping,Day,2026-03-26,False,synthetic
47,"During the day shift at Refinery B, a company employee was attempting to enter a maintenance hatch to replace a faulty sensor. He hadn’t secured the required air‑supplement system before entering, and a burst in the ventilation line caused a sudden drop in oxygen levels. The worker felt light‑headed, pulled back to the hatch, and the supervisor had to pull him out. The incident was logged as a near‑miss because the employee was not injured but the confined space entry protocol was not followed.",Refinery B,Confined Space Entry,Day,2026-04-08,False,synthetic
48,"While shutting down the 30 ft line at Pipeline Yard D during the day shift, a company employee forgot to lock the isolation valve. The valve slipped open when the crew started pumping, sending a burst of pressurized fluid straight into the yard. Fortunately the employee and crew were wearing PPE, but the sudden surge knocked over a stack of crates and splashed oil onto the ground, creating a slick that could have caused a slip. The incident was reported immediately and the valve was reseated and checked.",Pipeline Yard D,Hot Work,Day,2026-07-07,False,synthetic
49,"During the day shift at Loading Bay G, a contractor was operating a forklift when it suddenly tipped over onto the loading pallet, spilling a small amount of diesel. The forklift's backup alarm had been disabled, so the driver didn't hear the approach of a nearby loading truck and almost collided with it. The incident was a near‑miss, but the spill caused a slip hazard for the crew.",Loading Bay G,Drilling Operations,Day,2026-08-06,True,synthetic
50,"During the day shift at Storage Site E, a company employee slipped on a wet patch of oil that had leaked from a leaking pipe near the loading dock. The floor was not marked with any warning tape and the spill had spread beyond the containment barrier. The employee caught herself on a nearby metal post and was able to recover without injury, but the incident revealed that the spill containment barrier was missing in that area.",Storage Site E,Housekeeping,Day,2026-05-24,False,synthetic
51,"At Pipeline Yard D on the night shift, a contractor was working on the rooftop of the storage tank when a handrail that was supposed to support him slid off the steel bracket. He nearly fell but caught himself on the edge of the tank, and no one was injured. The handrail was found to be improperly installed and the safety guard was missing. The incident was reported to the safety officer immediately.",Pipeline Yard D,Maintenance,Night,2026-04-07,True,synthetic
52,"During the day shift at Rig 4, a contractor was operating the drilling winch when the winch gearbox overheated and the safety latch on the load release lever slipped. The load swung across the rig floor, narrowly missing a nearby worker and coming to rest against the safety fence, which had been removed for maintenance. The contractor had to stop the machine, cool the gearbox, and re‑install the latch before resuming work.",Rig 4,Drilling Operations,Day,2026-06-22,True,synthetic
53,"During the night shift at Terminal C, a contractor was operating the pallet jack when the hydraulic cylinder failed to lock. The jack tipped over, sending a stack of empty drums onto the work floor. The contractor was only slightly shaken, but the incident shows the machine’s safety lock was missing and the barrier around the loading area had not been put up.",Terminal C,Lifting,Night,2026-03-08,True,synthetic
54,"On the day shift at Storage Site E, a company employee was inspecting the hydraulic pump when he noticed the isolation valve was still open. He tried to close it, but the valve stuck and didn’t seal, allowing hydraulic fluid to flow into the tank. A small spray of fluid hit the worker’s clothing, causing a mild burn on his forearm. The incident was reported and the valve was replaced before any serious injury occurred.",Storage Site E,Hot Work,Day,2026-08-06,False,synthetic
55,"I was on the night shift at Refinery B and had to enter a vent pipe to check a leak. While inside, the air pressure suddenly dropped and the ventilation fan kicked off, so I nearly got stuck in the pipe. I managed to pull out safely, but there was no proper lock‑out/tag‑out on the vent line, and no oxygen sensor was installed. I flagged the missing barrier and the missing oxygen monitoring so it can be fixed before anyone else goes in.",Refinery B,Maintenance,Night,2026-03-10,False,synthetic
56,"During the night shift at Refinery B, a company employee was walking across the loading dock when a maintenance truck, just exiting the yard, drove straight into him. The driver was distracted by a phone call and didn't see the pedestrian until the last second. The employee was knocked to the ground, bruised his arm and ankle, and had to be helped back to the break room for treatment.",Refinery B,Logistics,Night,2026-05-05,False,synthetic
57,"Night shift on Rig 4, a contractor was welding in the rig bay when the spark hit a small leak of natural gas that was still on the vent pipe. The gas ignited a brief flare, but the fire alarm activated immediately and the fire suppression system kicked in, putting the blaze out before it could spread. The contractor was fine, but the incident revealed that the gas leak valve cover was missing, so we’re pulling the valve into a proper safety cage right away.",Rig 4,Maintenance,Night,2026-05-01,True,synthetic
58,"During the day shift at Refinery B, a contractor was working on the flue gas stack when he was found without a hard hat and safety harness. He was standing near a hot vent and was about to touch a live pipe; fortunately, the guard rail was in place and prevented a fall. Still, the lack of PPE posed a serious risk, and the contractor had to be pulled away before any injury occurred.",Refinery B,Confined Space Entry,Day,2026-05-28,True,synthetic
59,"During the day shift at Terminal C a contractor was working on the valve pit when he failed to properly lock out the main isolation valve. He started the pump without checking the lockout tag, and the valve slipped open, sending a burst of high‑pressure gas toward the control room. The contractor and his team immediately shut down the pump, but the gas leak caused a brief flashover in the corridor, forcing an evacuation of the area.",Terminal C,Maintenance,Day,2026-08-01,True,synthetic
60,"During the day shift at Refinery B, a contractor was climbing a 12‑meter ladder to replace a burner vent. The ladder's guardrail was missing on the right side, so the contractor slipped but caught himself on the side rail, landing on his back but not hitting the platform. No injuries were reported, but the incident showed a clear lapse in safety equipment.",Refinery B,Maintenance,Day,2026-07-26,True,synthetic
61,"Night shift at Terminal C, a contractor was performing routine maintenance on a storage tank. He had left the isolation valves open, thinking they were already closed from a previous check. While moving the valve handle, the contractor got a sudden jolt and a burst of steam hit him, scalding his forearm. The valve lockout tag was missing, so the energy isolation failed and caused the minor burn.",Terminal C,Maintenance,Night,2026-05-06,True,synthetic
62,"During the day shift at Storage Site E, a contractor was installing a new storage rack. He skipped his hard hat and safety glasses because he was in a hurry, even though the area was marked as a high‑fall zone. When a hydraulic valve unexpectedly released pressure, a burst pipe sprayed hot coolant over the floor. The contractor’s bare hands were splattered, and the incident was called a near‑miss because he was immediately pulled to a safe spot and the fire suppression system kicked in before any serious burns occurred.",Storage Site E,Hot Work,Day,2026-05-26,True,synthetic
63,"During the night shift at Terminal C, a company employee was seen walking past the hazardous spill area without wearing a protective glove. The employee’s bare hand brushed a sharp edge on the containment barrier, causing a small cut that bled and required immediate first aid. The lack of gloves was a clear PPE noncompliance issue that could have led to a serious injury if the employee had handled a larger spill.",Terminal C,Vehicle Operations,Night,2026-06-01,False,synthetic
64,"While on the night shift at Terminal C, a company employee was walking across the loading bay when a maintenance truck accidentally cut across the pedestrian path. The driver almost ran into the employee, but the employee stepped back in time. The incident highlighted that the barrier posts along the loading area were not in place and the truck's rearview mirrors were obstructed. The employee was unharmed but the event prompted an immediate review of the pedestrian routing and barrier placement.",Terminal C,Vehicle Operations,Night,2026-06-22,False,synthetic
65,"During the day shift at Pipeline Yard D, a contractor entered a storage tank without the required safety barrier in place. He was working on a routine inspection when he noticed a slight oxygen deficiency and immediately pulled out, but the tank door was still partially open, letting a draft in. The contractor managed to escape without injury, but the missing barrier is a clear violation of our confined space entry procedures.",Pipeline Yard D,Maintenance,Day,2026-05-17,True,synthetic
66,"During the night shift at Terminal C, a company employee entered a venting hood that had not been properly sealed for the scheduled maintenance. While inside, the worker noticed a sudden rush of cool air and a faint hiss from the exhaust line; the confined space seal was missing, allowing air to escape and reducing oxygen levels. The employee quickly exited the space, but the incident revealed that the safety barrier was not in place and the confined space entry procedures were not followed, creating a serious hazard.",Terminal C,Confined Space Entry,Night,2026-04-26,False,synthetic
67,"During the night shift at Refinery B, a company employee entered a vent hood to replace a worn gasket. The hatch was locked, but the latch failed, and the employee slipped and fell onto the piping, breaking a wrench and causing a small cut on his forearm. No fire or gas leak occurred, but the incident highlighted the need for a proper lockout-tagout procedure before any confined space entry.",Refinery B,Confined Space Entry,Night,2026-03-28,False,synthetic
68,"During the day shift at Refinery B a contractor was attempting to enter a maintenance hatch for a cooling pipe. He started the entry but noticed that the ventilation fan was off, so he stopped and called for a technician to start it. The contractor’s safety harness was already attached, but the backstop bar that normally blocks the hatch was missing, so he had to improvise with a rope. Once the fan was started he was able to complete the inspection without incident.",Refinery B,Confined Space Entry,Day,2026-08-20,True,synthetic
69,"At Pipeline Yard D on the day shift, a contractor was attempting to disconnect a section of the 300 psi line for maintenance. The isolation valve had been left open due to a miscommunication, and when the contractor tried to lift the valve handle, a sudden surge of pressure burst the valve seal, sending a spray of high‑pressure fluid across the work area. The contractor was splashed, and the hydraulic pressure caused a nearby guard rail to buckle, leaving a small gap in the safety barrier that could have let debris fall onto the track. The incident was quickly contained, but the valve failure and missing guard highlight a serious lapse in energy isolation.",Pipeline Yard D,Maintenance,Day,2026-08-01,True,synthetic
70,"During the day shift at Terminal C, a company employee tried to enter the storage tank through the hatch while the valve was still open. He noticed a faint smell of hydrocarbons but stopped and called for a check. The hatch lock was not engaged, so the employee was almost sucked into the tank before a colleague intervened.",Terminal C,Maintenance,Day,2026-06-26,False,synthetic
71,"In the Maintenance Shop H during the day shift, a contractor was entering a ventilation duct that had been marked as a confined space. He forgot to put on a full-face respirator and when he reached the bottom, the duct’s access hatch blew open from a faulty latch, spilling a small amount of condensate onto the floor. The contractor slipped on the wet spot and fell, but he landed on a padded mat and only got a bruised elbow. The incident shows the hatch latch failed and the confined space entry was not properly guarded.",Maintenance Shop H,Confined Space Entry,Day,2026-03-17,True,synthetic
72,"During the day shift at Drilling Unit F, a company employee was walking along the access road when a supply truck back‑saw him and had to brake sharply to avoid a collision. The truck’s emergency brake did not fully stop the vehicle, and the employee only narrowly dodged a minor impact. The incident highlighted that the pedestrian crossing sign was not visible in that spot, increasing the risk of future vehicle‑pedestrian interactions.",Drilling Unit F,Logistics,Day,2026-07-12,False,synthetic
73,"On the night shift at Refinery B, a contractor was moving a set of piping from the storage area to the tank line when he slipped on a wet patch of oil that had leaked from a cracked pipe. He nearly fell over the edge of the concrete walkway and managed to grab a support rail just in time, but the spill had created a noticeable slip‑trip hazard for anyone walking past. The spill was cleaned up immediately, and a warning sign was posted while the contractor waited for a maintenance crew to seal the crack.",Refinery B,Housekeeping,Night,2026-04-01,True,synthetic
74,"During the day shift at Rig 4, a contractor was attempting to enter a storage tank for a routine inspection. He forgot to secure the confined space entry gate, and the hatch slipped open as he approached, nearly letting him fall into the tank. The incident was a near-miss because he managed to grab the railing in time and was stopped by the safety supervisor. The gate was later replaced with a proper lockable barrier to prevent a repeat.",Rig 4,Confined Space Entry,Day,2026-04-02,True,synthetic
75,"In Pipeline Yard D during the day shift, a company employee slipped on a patch of oil that had leaked from a cracked pipe. He didn’t fall, but he lost his footing and almost tripped over a loose, unmarked pipe section that was blocking the access route. The spill was quickly mopped up and the damaged pipe was replaced before any further slips could happen.",Pipeline Yard D,Housekeeping,Day,2026-05-22,False,synthetic
76,"During the night shift at Terminal C, a contractor was working on a 12‑foot ladder to replace a faulty pipe valve when the ladder’s base slipped on a wet patch of concrete. He lost his footing, slipped, and fell about six inches onto the ground. Luckily he landed on a padded floor and only sustained a minor wrist sprain, but the incident highlighted the missing hand‑rail on that ladder set.",Terminal C,Housekeeping,Night,2026-07-28,True,synthetic
77,"Night shift on Rig 4 when a company employee was trying to start the drilling motor without the isolation lock being engaged. The lockout tag was missing and the pressure release valve had not been closed. The employee almost got caught in the rotating part when the motor started, but a quick stop by the crew prevented injury.",Rig 4,Maintenance,Night,2026-06-04,False,synthetic
78,"During the day shift at Refinery B, a company employee was working on the roof of the storage tank when a rail that had been removed for maintenance fell and knocked the worker off balance, causing them to tumble onto the concrete below. The employee landed with a minor bruise and was able to get up after a quick first-aid check. The incident highlighted that the safety rail was missing at that section, and the maintenance team was notified to replace it immediately.",Refinery B,Maintenance,Day,2026-07-14,False,synthetic
79,"While on the night shift at Pipeline Yard D, a contractor was entering a drainage trench that was marked as a confined space. The contractor didn’t secure the air monitoring device before entry and the hatch lock was left open. When the contractor reached the bottom, the hatch suddenly swung open, exposing them to a drop of liquid sludge. The contractor grabbed the edge and managed to avoid falling, but the incident shows the hatch lock failure and the lack of proper ventilation monitoring.",Pipeline Yard D,Maintenance,Night,2026-05-20,True,synthetic
80,"During the day shift at Pipeline Yard D, a company employee entered a vent pipe that was supposed to be sealed. The lockout tag was missing, so the pipe was still pressurized. He nearly got sucked into the pipe before the supervisor noticed and shut the valve down. The incident was a close call but the employee was fine.",Pipeline Yard D,Maintenance,Day,2026-07-25,False,synthetic
81,"Night shift at Storage Site E, a contractor was walking across the unloading area and slipped on a wet patch left from a recent leak. The contractor caught himself and avoided a fall, but the spill was still present and could have caused a serious fall if the ground had been more uneven. The area was marked with caution signs, but the spill marker was missing, so the hazard wasn’t immediately obvious.",Storage Site E,Logistics,Night,2026-04-24,True,synthetic
82,"During the day shift at Storage Site E, a contractor was checking the pressure relief valve when a sudden hissing sound indicated a possible gas leak. He stopped the work, sealed the valve with a clamp, and called the on‑site safety team. The leak was contained before any fire could start, but the contractor noted that the area’s fire extinguisher was missing and that the gas detector alarm had been disabled for maintenance.",Storage Site E,Hot Work,Day,2026-03-28,True,synthetic
83,"At Pipeline Yard D on the day shift, a company employee was operating a hydraulic lift when the safety guard on the machine slipped off the frame and fell into the hydraulic cylinder. The guard was not secured, and the employee had to stop the lift immediately to avoid a serious injury. The incident highlighted a missing safety barrier that could have prevented the guard from falling.",Pipeline Yard D,Lifting,Day,2026-08-02,False,synthetic
84,"During the day shift at Refinery B, a company employee slipped on a wet patch near the maintenance bay when a spill from the coolant system wasn’t cleaned up quickly enough. The worker caught himself before falling, but the slippery surface posed a serious risk for anyone walking through the area. No one was injured, but the incident highlighted that spill containment and timely cleanup are critical to avoid future trips or slips.",Refinery B,Housekeeping,Day,2026-08-11,False,synthetic
