report_id,text,hazard_assessment,lsr_rule,control_status,severity,notes,rubric_version,annotator
80,"During the day shift at Pipeline Yard D, a company employee entered a vent pipe that was supposed to be sealed. The lockout tag was missing, so the pipe was still pressurized. He nearly got sucked into the pipe before the supervisor noticed and shut the valve down. The incident was a close call but the employee was fine.",,,,,,2.2,sukanya
6,"Day shift at Rig 4, a company employee was operating the drilling winch when the safety latch on the load‑hold arm failed to lock. The arm slipped slightly, causing a small hydraulic hose to come off and spill oil onto the floor. The employee immediately stopped the winch, flagged the area, and called for a repair crew to replace the latch and clean up the spill.",,,,,,2.2,sukanya
19,"During the day shift on Rig 4, a company employee was walking to the loading dock when a service truck entered the pedestrian zone without stopping. The driver swerved to avoid a rock, causing the employee to stumble and almost get hit. Luckily the truck slowed enough to avoid a collision, but the employee had a minor bruise and the incident highlighted that the safety barrier that should have separated vehicles from workers was missing that day.",,,,,,2.2,sukanya
92,"While walking from the rig house to the drill rig on Rig 4 during the day shift, a company employee slipped on a wet patch left by the de-icing spray that had been used earlier. The employee caught himself on the rig wall just before falling, but the splash had left a small area of slick floor, indicating the de-icing area was not properly cordoned off. No one was injured, but the incident highlighted a potential slip/trip hazard that needs immediate attention.",,,,,,2.2,sukanya
43,"During the night shift at Drilling Unit F, a company employee slipped on a patch of spilled drilling fluid that had not been cleaned up. The employee was just about to reach for a safety barrier that was still being erected when the slip occurred. The slip caused the worker to lose balance, but they managed to catch themselves on a nearby pipe and avoided falling. The incident highlighted the need for immediate cleanup and proper barrier installation before shift end.",,,,,,2.2,sukanya
146,"On Rig 4 during the day shift a company employee was inspecting the hydraulic pump when the guardrail on the motor mount fell off, exposing the moving shaft. The employee was only a few feet away but didn't hit the shaft because the automatic shut‑off engaged just in time. The guardrail will need replacement before the next shift.",,,,,,2.2,sukanya
115,"During the day shift at Refinery B, a company employee was walking on the walk‑way when a maintenance truck drove too close and almost hit him. The employee had to jump out of the way, but the truck’s bumper struck the rail that should have been a safety barrier, showing the barrier was missing or ineffective. The incident was a near‑miss; the employee was only slightly bruised.",,,,,,2.2,sukanya
103,"During the day shift at Refinery B, a company employee was working on the control panel for the main reactor isolation valves. The lockout tag on the energy isolation system was missing, so the valve was accidentally opened while the reactor was still under pressure. The employee only noticed the mistake when a pressure gauge began spiking, but the sudden pressure surge caused a minor leak that was quickly contained. The incident was logged as a near‑miss, but the lack of proper isolation equipment made the situation dangerous.",,,,,,2.2,sukanya
79,"While on the night shift at Pipeline Yard D, a contractor was entering a drainage trench that was marked as a confined space. The contractor didn’t secure the air monitoring device before entry and the hatch lock was left open. When the contractor reached the bottom, the hatch suddenly swung open, exposing them to a drop of liquid sludge. The contractor grabbed the edge and managed to avoid falling, but the incident shows the hatch lock failure and the lack of proper ventilation monitoring.",,,,,,2.2,sukanya
56,"During the night shift at Refinery B, a company employee was walking across the loading dock when a maintenance truck, just exiting the yard, drove straight into him. The driver was distracted by a phone call and didn't see the pedestrian until the last second. The employee was knocked to the ground, bruised his arm and ankle, and had to be helped back to the break room for treatment.",,,,,,2.2,sukanya
123,"During the day shift at Refinery B, a contractor was checking the vent system on the eastern flue stack when a small gas leak was detected by the handheld detector. The contractor immediately shut off the valve, but the burst pipe had already released a cloud of flammable gas that drifted into the adjacent storage area. Thankfully, no ignition source was present and the leak was contained before it could ignite, but the incident highlighted a missing safety barrier around the vent line.",,,,,,2.2,sukanya
2,"During the day shift at Refinery B, a company employee entered a vent hood that had not been properly sealed. The air test showed a sudden drop in oxygen levels, but the worker noticed the alarm and backed out before any breathing difficulties occurred. The incident was flagged because the confinement barrier had been omitted, but fortunately no injury happened.",,,,,,2.2,sukanya
48,"While shutting down the 30 ft line at Pipeline Yard D during the day shift, a company employee forgot to lock the isolation valve. The valve slipped open when the crew started pumping, sending a burst of pressurized fluid straight into the yard. Fortunately the employee and crew were wearing PPE, but the sudden surge knocked over a stack of crates and splashed oil onto the ground, creating a slick that could have caused a slip. The incident was reported immediately and the valve was reseated and checked.",,,,,,2.2,sukanya
45,"Night shift at Drilling Unit F, a contractor was walking across the wet hatchway when a loose cable slipped out of its holder and rolled onto the floor. He almost slipped, but managed to catch himself on the railing. The cable was still hanging at the end of the workbench, so the cable holder had to be replaced before the crew could resume drilling.",,,,,,2.2,sukanya
140,"At Refinery B, on the night shift, a contractor was entering the 8‑foot tall venting stack through the access hatch. He had forgotten to secure the temporary entry seal, so as he lowered the harness the seal slipped and he slipped on the slick metal surface. He fell about 3 feet but was pulled up by a guard. The incident highlighted a missing safety barrier and the risk of a confined space entry failure.",,,,,,2.2,sukanya
26,"While doing a routine inspection at Rig 4 on the day shift, a company employee noticed a faint hiss coming from the gas line near the valve station. He immediately shut down the valve but found the safety isolation block was missing, so the leak could have spread into the work area. The employee marked the spot and called the supervisor to install a proper barrier before the leak could ignite.",,,,,,2.2,sukanya
137,"During the day shift at Drilling Unit F, a company employee entered a venting shaft that had no temporary gas detection equipment in place. As he was lowering the harness, the ladder he was using slipped on the slick concrete, and he almost fell into the confined space. Luckily, the fall was avoided by a teammate who grabbed his forearm just in time. The incident highlighted the missing safety barrier that should have prevented ladder movement in that area.",,,,,,2.2,sukanya
46,"During the day shift on Rig 4, a company employee slipped on a puddle of oil that had leaked from a damaged pipe. The employee was walking across the hatchway when the slick caused a loss of balance, but he managed to catch himself on a nearby support beam and avoided a fall. The spill was quickly contained with a spill kit, but the incident highlighted that the spill containment barrier on that section of the hatch was missing and needs to be installed ASAP.",,,,,,2.2,sukanya
76,"During the night shift at Terminal C, a contractor was working on a 12‑foot ladder to replace a faulty pipe valve when the ladder’s base slipped on a wet patch of concrete. He lost his footing, slipped, and fell about six inches onto the ground. Luckily he landed on a padded floor and only sustained a minor wrist sprain, but the incident highlighted the missing hand‑rail on that ladder set.",,,,,,2.2,sukanya
5,"On the night shift at Rig 4, a company employee slipped on a wet patch near the spillway because the usual warning tape was missing. The worker almost fell into the drainage trench but caught themselves on a nearby pipe. The slip was quickly cleaned up and tape re‑installed before the shift ended.",,,,,,2.2,sukanya
12,"At Rig 4 on the night shift, a company employee noticed a faint orange glow near the valve chamber, indicating a potential gas leak. The worker quickly sealed the valve and called the fire alarm, but a damaged safety barrier failed to contain the odor. Thankfully, no ignition occurred, and the leak was contained before any fire started.",,,,,,2.2,sukanya
121,"During the day shift at Refinery B, a contractor was working on a maintenance task when the hydraulic lift arm slipped out of the guard rail. He nearly got caught between the arm and the steel frame, but the guard rail caught his sleeve and he avoided serious injury. The incident highlights that the guard rail was not properly secured to the lift frame, creating a machinery hazard for anyone in the area.",,,,,,2.2,sukanya
94,"Night shift at Storage Site E, a company employee was walking near the loading dock when a delivery truck entered the pedestrian lane. The driver ran the stop sign and nearly collided with the employee, who stepped back just in time. The incident highlighted the lack of a clear traffic separation barrier in that area.",,,,,,2.2,sukanya
61,"Night shift at Terminal C, a contractor was performing routine maintenance on a storage tank. He had left the isolation valves open, thinking they were already closed from a previous check. While moving the valve handle, the contractor got a sudden jolt and a burst of steam hit him, scalding his forearm. The valve lockout tag was missing, so the energy isolation failed and caused the minor burn.",,,,,,2.2,sukanya
109,"During the day shift on Rig 4 a contractor was working on the access ladder when he ignored the mandatory helmet requirement and walked around without a hard hat. He nearly fell off the ladder when a loose bolt on the handrail slipped, but the fall was averted because the guardrail was still in place. The incident was logged as a near-miss.",,,,,,2.2,sukanya
130,"During the day shift on Rig 4, a company employee was seen walking through the high‑pressure pipe area without a hard hat or face shield. The worker was carrying a toolbox and didn’t notice the guard rail had been removed for maintenance. A bolt from the pipe brushed the worker’s neck, and the metal splintered, narrowly missing the head. The employee was shaken but not seriously injured, and the incident was logged as a PPE noncompliance near‑miss.",,,,,,2.2,sukanya
7,"While operating Rig 4 during the day shift, a company employee was cutting a pipe when a hydraulic cylinder unexpectedly released pressure. The sudden jolt threw the employee backward, causing him to hit his shoulder against the metal frame. Fortunately, he only suffered a minor bruise and the incident was reported immediately.",,,,,,2.2,sukanya
83,"At Pipeline Yard D on the day shift, a company employee was operating a hydraulic lift when the safety guard on the machine slipped off the frame and fell into the hydraulic cylinder. The guard was not secured, and the employee had to stop the lift immediately to avoid a serious injury. The incident highlighted a missing safety barrier that could have prevented the guard from falling.",,,,,,2.2,sukanya
35,"At Terminal C on the night shift a contractor was operating a hydraulic jack to lift a cracked valve. While the jack was on the load, the safety lockout bar had been removed to speed up the job and the jack slipped, throwing the valve against the concrete wall. The contractor was only grazed, but the incident shows the equipment hazard when a safety barrier was missing.",,,,,,2.2,sukanya
82,"During the day shift at Storage Site E, a contractor was checking the pressure relief valve when a sudden hissing sound indicated a possible gas leak. He stopped the work, sealed the valve with a clamp, and called the on‑site safety team. The leak was contained before any fire could start, but the contractor noted that the area’s fire extinguisher was missing and that the gas detector alarm had been disabled for maintenance.",,,,,,2.2,sukanya
