report_id,text_a,hazard_assessment_a,hazard_assessment_b,lsr_rule_a,lsr_rule_b,control_status_a,control_status_b,severity_a,severity_b,is_sif_precursor_a,is_sif_precursor_b
150,"During the night shift at Storage Site E, a company employee slipped while descending the steel ladder beside the tank stack because the handhold had a cracked plate. He almost fell to the ground but caught himself on the metal rung, so no injury occurred. The ladder should have been inspected before use.",yes,yes,work_at_height,work_at_height,failed,absent,1,3,True,False
10,"On the day shift at Pipeline Yard D, a company employee was stepping down from a 4‑meter high loading dock when the guard rail snapped, sending him to the concrete floor. He slipped and twisted his ankle, but no serious injury occurred; the incident was flagged as a near‑miss and the broken rail was replaced immediately.",yes,yes,work_at_height,work_at_height,failed,failed,2,3,True,False
18,"During the day shift at Refinery B, a company employee was walking past the storage tanks when a sudden flare of flame popped up near the vent line. The worker realized a gas leak had started but it was just enough to ignite a small spark that fizzled out before it could spread. Luckily the safety valve was still functional and the flare was contained, but the employee had to evacuate the area and report the near-miss.",yes,yes,energy_isolation,hot_work,present,present,1,4,True,False
125,"During the day shift on Rig 4, a company employee slipped off a ladder while moving a drill string to the rig floor. He lost footing on the rung and dropped onto the steel pipe supports below, scraping his shin but no serious injury. The fall happened because the ladder guard rail was not properly installed at the time.",yes,yes,work_at_height,work_at_height,absent,absent,2,3,True,False
7,"While operating Rig 4 during the day shift, a company employee was cutting a pipe when a hydraulic cylinder unexpectedly released pressure. The sudden jolt threw the employee backward, causing him to hit his shoulder against the metal frame. Fortunately, he only suffered a minor bruise and the incident was reported immediately.",yes,yes,energy_isolation,energy_isolation,failed,failed,2,3,True,False
117,"During the night shift on Rig 4, a company employee was attempting to lock out the hydraulic pump when the isolation valve slipped open. The valve handle stayed in the “on” position and the hydraulic pressure began to rise, but the employee noticed the pressure gauge spiking and quickly shut the system off, preventing any actual damage. The incident highlighted a failure in the energy isolation procedure and a missing safety interlock on the valve.",yes,yes,energy_isolation,energy_isolation,failed,failed,1,3,True,False
122,"During the night shift at Refinery B, a contractor was entering a maintenance hatch that had not been properly sealed. He slipped on a wet patch and dropped a tool inside the hatch, creating a potential fire hazard. The hatch's safety lock was missing, so the contractor’s entry went unchecked and the area was not monitored until the tool was found.",yes,yes,confined_space,confined_space,absent,absent,1,3,True,False
131,"During the day shift at Terminal C, a company employee was cleaning the fuel transfer line when a sudden hiss of gas was noticed. The worker stopped and saw a small flame licking the pipe, but the flame was contained by the fire suppression system and the employee was able to evacuate the area quickly. The incident highlighted that the gas leak alarm was delayed, but luckily the barrier prevented a larger fire.",yes,yes,energy_isolation,hot_work,present,present,1,3,True,False
138,"During the day shift at Storage Site E, a contractor was operating a pallet jack to move a bulk container. While accelerating forward, the jack’s rear wheel struck the edge of a storage bin and spun off, causing the container to topple and roll onto the ground. The contractor narrowly avoided injury as the container landed on a soft soil patch, but the incident highlighted the lack of a proper guardrail around the bin area.",yes,yes,line_of_fire,lifting,absent,absent,1,2,True,False
8,"At Loading Bay G during the day shift, a company employee was unloading a tank when a gas vent opened slightly. The employee smelled a strong odor and saw a faint puff of flame, but the fire extinguisher was still within reach, so they quickly sprayed it and the flame died out. The gas detector alarm went off and the area was evacuated; no one was hurt, but the fire barrier around the vent was found to be missing and will be replaced.",yes,yes,energy_isolation,hot_work,absent,absent,1,3,True,False
58,"During the day shift at Refinery B, a contractor was working on the flue gas stack when he was found without a hard hat and safety harness. He was standing near a hot vent and was about to touch a live pipe; fortunately, the guard rail was in place and prevented a fall. Still, the lack of PPE posed a serious risk, and the contractor had to be pulled away before any injury occurred.",yes,yes,work_at_height,work_at_height,absent,present,1,3,True,False
72,"During the day shift at Drilling Unit F, a company employee was walking along the access road when a supply truck back‑saw him and had to brake sharply to avoid a collision. The truck’s emergency brake did not fully stop the vehicle, and the employee only narrowly dodged a minor impact. The incident highlighted that the pedestrian crossing sign was not visible in that spot, increasing the risk of future vehicle‑pedestrian interactions.",yes,yes,driving,driving,failed,absent,1,3,True,False
76,"During the night shift at Terminal C, a contractor was working on a 12‑foot ladder to replace a faulty pipe valve when the ladder’s base slipped on a wet patch of concrete. He lost his footing, slipped, and fell about six inches onto the ground. Luckily he landed on a padded floor and only sustained a minor wrist sprain, but the incident highlighted the missing hand‑rail on that ladder set.",yes,yes,work_at_height,work_at_height,absent,absent,2,2,True,False
6,"Day shift at Rig 4, a company employee was operating the drilling winch when the safety latch on the load‑hold arm failed to lock. The arm slipped slightly, causing a small hydraulic hose to come off and spill oil onto the floor. The employee immediately stopped the winch, flagged the area, and called for a repair crew to replace the latch and clean up the spill.",yes,yes,lifting,lifting,failed,failed,1,2,True,False
147,"At Loading Bay G on the day shift, a company employee was walking toward the loading dock when a forklift driver didn’t see him and the forklift brushed the worker’s shoulder, sending him stumbling back into a stack of pallets. The employee was shaken, bruised, but not seriously injured. The incident was called out as a near‑miss, and the driver was reminded to keep an eye on the pedestrian zone.",yes,yes,line_of_fire,line_of_fire,unclear,absent,2,2,True,False
140,"At Refinery B, on the night shift, a contractor was entering the 8‑foot tall venting stack through the access hatch. He had forgotten to secure the temporary entry seal, so as he lowered the harness the seal slipped and he slipped on the slick metal surface. He fell about 3 feet but was pulled up by a guard. The incident highlighted a missing safety barrier and the risk of a confined space entry failure.",yes,yes,confined_space,confined_space,absent,absent,1,3,True,False
33,"At the maintenance shop H during the day shift, a company employee was working on the roof of the storage tank when he slipped on a wet patch left from a recent spill. He almost fell, but the guard rail held him in place. The spill area was not marked and the safety signage was missing, so the employee had to climb back down carefully.",yes,yes,work_at_height,work_at_height,present,present,1,3,True,False
121,"During the day shift at Refinery B, a contractor was working on a maintenance task when the hydraulic lift arm slipped out of the guard rail. He nearly got caught between the arm and the steel frame, but the guard rail caught his sleeve and he avoided serious injury. The incident highlights that the guard rail was not properly secured to the lift frame, creating a machinery hazard for anyone in the area.",yes,yes,lifting,lifting,absent,present,1,3,True,False
144,"In Maintenance Shop H during the night shift, a company employee was working on a hydraulic press when the guard door failed to latch properly. The employee stepped back just in time, but the press moved unexpectedly, sending a metal arm into the workspace. Luckily, no one was hit, but the incident shows the guard was missing a lock.",yes,yes,line_of_fire,lifting,failed,failed,1,3,True,False
60,"During the day shift at Refinery B, a contractor was climbing a 12‑meter ladder to replace a burner vent. The ladder's guardrail was missing on the right side, so the contractor slipped but caught himself on the side rail, landing on his back but not hitting the platform. No injuries were reported, but the incident showed a clear lapse in safety equipment.",yes,yes,work_at_height,work_at_height,absent,absent,1,3,True,False
38,"At Terminal C on the day shift, a contractor was working on the roof of the storage bay when the guard rail that had been set up for his task collapsed. The rail was only partially secured, and as he leaned to check a pipe, he slipped and fell about 3 feet onto the concrete floor below. Luckily he only sustained a minor wrist sprain and was treated on site.",yes,yes,work_at_height,work_at_height,failed,failed,2,3,True,False
139,"At Rig 4, during the day shift, a company employee was walking around the drill floor without wearing a hard hat or safety vest, despite the hard‑hat zone signs. The employee was nearly struck by a falling drill pipe that slipped from a nearby rigging rig. No one was injured, but the incident highlighted a clear PPE noncompliance that could have caused serious injury.",yes,yes,line_of_fire,line_of_fire,absent,absent,1,3,True,False
27,"During the night shift at Storage Site E, a company employee was handling a pressure line when a small spark ignited a flammable vapor that had leaked from a cracked valve. The flame spread quickly but was stopped by the automatic fire suppression system before it could reach the storage tanks. The employee had to evacuate the area and report the incident, but no one was injured.",no,yes,none,hot_work,,present,1,4,True,False
67,"During the night shift at Refinery B, a company employee entered a vent hood to replace a worn gasket. The hatch was locked, but the latch failed, and the employee slipped and fell onto the piping, breaking a wrench and causing a small cut on his forearm. No fire or gas leak occurred, but the incident highlighted the need for a proper lockout-tagout procedure before any confined space entry.",yes,yes,confined_space,confined_space,failed,failed,2,3,True,False
20,"During the night shift at Refinery B, a company employee was walking through the chemical storage area without wearing the required hard hat and safety goggles. The worker walked right next to a leaking pipe; the exposed skin could have come into contact with the corrosive fluid, but the employee stopped just before the spray reached them. The incident was logged as a near‑miss because the PPE omission could have caused a serious burn if the leak had worsened.",yes,yes,line_of_fire,line_of_fire,absent,absent,1,3,True,False
23,"During the night shift at Refinery B, a company employee was climbing the outer support ladder to replace a loose pipe. He lost his footing on a wet rung and slipped, falling about two meters to the concrete floor. He sustained minor bruises and a sprained wrist, but the fall did not hit any equipment or personnel.",yes,yes,work_at_height,work_at_height,failed,absent,2,3,True,False
179,"An employee was running a cable through trees when he came in contact with overhead powerlines, suffering second degree burns on his wrist.",yes,yes,energy_isolation,line_of_fire,absent,absent,3,3,True,False
34,"On Rig 4 during the day shift, a company employee was climbing the rig ladder to replace a missing guard on the pipe‑handling platform. While reaching for a bolt, the guard had slid off, and the employee slipped, losing his footing for a split second before grabbing the nearest rail. He was able to recover without injury, but the incident shows the platform guard was either not installed or had failed, creating a fall hazard.",yes,yes,work_at_height,work_at_height,absent,failed,1,2,True,False
177,"An employee was pushing a loaded molding cart through the store when they tripped and fell over the cart onto the floor, resulting in broken bones.",no,yes,none,lifting,,absent,4,4,False,True
133,"During the night shift on Rig 4, a company employee was working on the drilling rig when a hydraulic cylinder seized and jammed the drill head. The employee had to manually force the cylinder to release, but the hydraulic hose burst as the pressure finally released, spraying high‑pressure fluid across the platform. No one was injured, but the sudden hose failure exposed workers to a splash of hot oil and the risk of a fire.",yes,yes,energy isolation,energy_isolation,failed,failed,5,3,True,False
124,"During the day shift at Terminal C, a company employee entered a storage silo without wearing the required harness. The safety cage that should have been attached to the rigging was missing, so the employee slipped and almost fell onto the bulk material. He stopped the operation immediately, and the incident was reported to the safety officer.",yes,yes,work at height,work at height,absent,absent,5,4,False,True
152,"A maintenance employee was using a sledge hammer to remove an end cap on an axle to a ride. The sledge hammer struck the employee's right pinky finger, crushing it.",yes,yes,line_of_fire,line of fire,unclear,unclear,3,3,True,False
170,An employee was climbing down a ladder with a tool bag swung over his shoulder when it swung and struck him. He suffered an infection and was hospitalized.,yes,yes,work_at_height,line of fire,unclear,unclear,4,3,True,False
154,An employee was laying glue on the corner of a three-story commercial flat roof to apply new thermoplastic polyolefin roofing material. He lost his balance and fell at least 35 feet to the concrete ground below. The employee sustained fractures.,yes,yes,work_at_height,work at height,unclear,unclear,5,5,True,False
24,"At Terminal C during the day shift, a company employee was walking near the storage tanks when a faint odor of gas wafted past. The worker stopped immediately, turned off the nearby valve, and called the safety officer. No fire erupted, but the incident highlighted a missing gas leak detector in that area.",no,yes,none,energy isolation,,present,1,4,True,False
168,"A beam struck an ironworker during a demolition. The ironworker suffered skull, neck, and wrist fractures, as well as lacerations to the head and leg.",yes,yes,line_of_fire,line of fire,unclear,unclear,5,5,True,False
158,"On or about 6/8/2016, at approximately 1:15, an employee was placing a stencil inside a mold when a piece (known as a cradle) fell down from inside the top of the mold and struck/partially amputated the employee's left middle and ring fingers.",yes,yes,line_of_fire,line of fire,unclear,unclear,5,4,True,False
11,"During the day shift at Storage Site E, a contractor was seen walking across the loading bay without a safety vest or hard hat. He was only a few feet away from the conveyor belt when a loose cable slipped, almost pulling him down. The incident was stopped by a quick stop of the belt, but the lack of PPE still put him at serious risk. The supervisor had to remind everyone that PPE is mandatory before the next shift begins.",yes,no,line_of_fire,none,absent,unclear,1,2,True,False
167,"An employee stepped out of a moving vehicle, fell, and struck his head. He was hospitalized.",yes,yes,driving,line of fire,unclear,unclear,4,5,True,False
153,"An employee was moving a scaffold when he slipped on some stones and fell off a retaining wall onto his side, breaking ribs.",yes,yes,work_at_height,work at height,unclear,unclear,4,3,True,False
178,"On April 13, 2015, at approximately 1:30 p.m., an employee was shot in the left hand. Prior to the incident, a well tender found an issue at a well site. The well tender contacted a roustabout crew to repair and clean the area. The injured employee responded to the job to oversee the work, take pictures, and complete an incident report. After completing his work, he was driving away from the site and was stopped by a suspect dressed in camouflage, standing in the road. The suspect stood on the passenger side of the truck, played a recording that said ""stop drilling,"" and pointed a gun at the employee's head. The employee grabbed the gun and shoved it away from his head; the gun fired into his left hand.  The employee drove off and was hospitalized.",no,no,none,none,blank,blank,5,5,True,False
160,"During disassembly of a spent perforating-gun tool string, an employee attempted to carry the setting tool (designed to set a plug in the well) section from the external stands into the trailer for breakdown. When he lifted the setting tool in the vertical position, he placed his right hand over and into the open end of the sleeve. At that point, the internal mandrel shifted further up to the open end. His right middle fingertip was pinched by the mandrel and the set-screw opening at the end of the sleeve, amputating the distal phalanx.",yes,yes,line_of_fire,line_of_fire,unclear,unclear,5,4,True,False
165,An employee was manually lifting a roll of fabric material with a metal pole. The employee placed the pole into its holder and pinched their left index finger resulting in a partial amputation.,yes,yes,lifting,lifting,unclear,unclear,4,3,True,False
88,"During the day shift at Refinery B, a company employee was walking across the yard when a maintenance truck drove through the pedestrian crossing zone. The driver didn’t see the employee and swerved, nearly scraping her shin and causing her to stumble. Fortunately, the employee only suffered a minor bruise and there was no injury.",yes,yes,line_of_fire,driving,unclear,unclear,1,5,True,False
161,"An employee and a co-worker were working to pack up pallets on pallet banding equipment. The co-worker was holding the strap as the employee was utilizing a clamp. The employee's right thumb was caught in a pinch point on the clamp, resulting in amputation.",yes,yes,line_of_fire,line_of_fire,absent,unclear,5,4,True,False
68,"During the day shift at Refinery B a contractor was attempting to enter a maintenance hatch for a cooling pipe. He started the entry but noticed that the ventilation fan was off, so he stopped and called for a technician to start it. The contractor’s safety harness was already attached, but the backstop bar that normally blocks the hatch was missing, so he had to improvise with a rope. Once the fan was started he was able to complete the inspection without incident.",yes,yes,confined_space,confined space,unclear,absent,1,4,False,True
173,"An employee was running an edger. While pushing a log through the edger, the log kicked back, striking the employee in the stomach. The employee sustained a cut to his stomach.",yes,yes,line_of_fire,line of fire,unclear,unclear,3,5,True,False
31,"Night shift at Pipeline Yard D, a contractor was moving a 30‑inch pipe segment without his hard hat and steel‑toed boots. He stepped onto a small pile‑up of gravel, and a heavy clamp slipped off the pipe, striking his left leg. The impact ripped through the leather of his knee pad, but no serious injury was reported because he was wearing a full‑sleeve shirt. The incident highlighted a clear failure in PPE compliance.",yes,yes,line_of_fire,line of fire,absent,unclear,2,4,True,False
